APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,lon,lat,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
2041006004,03/19/2020,Single Family,23221 W CALIFA ST,LOS ANGELES,CA,91367,3,TCF NATIONAL BANK,Michelle Pino,949-608-9142,CASTLE REALTY HOMES,SARAH LIN,12065   PARAMOUNT BLVD  B DOWNEY CA 90242,562-307-2296,-118.63303,34.17737,POINT (-118.63303 34.17737),19347,307,1480,,4,49
2118024009,01/13/2020,Single Family,7276 N WILBUR AVE,LOS ANGELES,CA,91335,3,Cenlar FSB,Athena Santos,609-883-3900,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.54461,34.20301,POINT (-118.54461 34.20301),18909,257,544,,4,12
5105002028,01/03/2020,Multi-Family,1549 1/2 E 53RD ST,LOS ANGELES,CA,90011,9,Flagstar BANK,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.24597,33.99494,POINT (-118.24597 33.99494),22727,720,983,7,13,51
5504020013,01/21/2020,Multi-Family,410 S VAN NESS AVE,LOS ANGELES,CA,90020,4,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.31498,34.06667,POINT (-118.31498 34.06667),23081,588,875,,7,86
4366015033,02/21/2020,Single Family,375 S GLENROY AVE,LOS ANGELES,CA,90049,5,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.46166,34.06839,POINT (-118.46166 34.06839),23680,853,763,9,6,72
5420010029,01/09/2020,Single Family,1907 N LEMOYNE ST,LOS ANGELES,CA,90026,13,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.25437,34.08756,POINT (-118.25437 34.08756),23444,480,1427,,8,31
2012029031,01/31/2020,Single Family,7943 N MOORCROFT AVE,LOS ANGELES,CA,91304,3,VICTOR M DUBON c/o Cenlar FSB,ATHENA SANTOS,609-718-2657,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.61173,34.21493,POINT (-118.61173 34.21493),4279,279,267,,4,37
7459017015,01/06/2020,Single Family,1121 S DOLPHIN ST,SAN PEDRO,CA,90732,15,Flagstar BANK,Eric Moore,877-338-3791,Bron,Jessica Hamlet,41951   Remington AVE 150 Temecula CA 92590,951-291-3285,-118.30682,33.73392,POINT (-118.30682 33.73392),3343,978,1450,,15,25
2110014116,02/24/2020,Single Family,7632 N TOPANGA CANYON BLVD,CANOGA PARK,CA,93063,3,CitiMortgage INC. C/O Cenlar FSB,George Boyajian,818-674-3135,First American Realty Group,George Boyajian,940   Topanga Cyn BLVD 204 Chatsworth CA 91311,818-674-3135,-118.60572,34.20951,POINT (-118.60572 34.20951),4279,281,887,,4,37
5083031016,03/18/2020,Multi-Family,1272 S MUIRFIELD RD,LOS ANGELES,CA,90019,10,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.33421,34.0497,POINT (-118.33421 34.0497),23080,614,1508,,12,52
5085009048,01/31/2020,Single Family,1002 S BURNSIDE AVE,LOS ANGELES,CA,90036,4,Citizens Business Bank,Tonya Anchondo,909-483-7293,NULL,NULL,,NULL,-118.35135,34.05706,POINT (-118.35135 34.05706),23080,637,1346,,7,26
2139010008,02/04/2020,Single Family,22314 W KITTRIDGE ST,LOS ANGELES,CA,91303,3,M&T Bank - Jefferson Office,Eric Moore,877-338-3791,SAFEGUARD c/o MALCOLM CISNEROS,Code Compliance,2112   Business Center DR  Irvine CA 92612,800-852-8306,-118.61281,34.19134,POINT (-118.61281 34.19134),4278,297,1473,,4,49
6014027008,01/07/2020,Single Family,1130 W 69TH ST,LOS ANGELES,CA,90044,8,Statebridge,Bryce Fendall,720-697-6421,Rushmore Loan Management Services LLC,Customer Center,15480   Luguna Canyon RD  Irvine CA 92618,888-504-6700,-118.29472,33.97692,POINT (-118.29472 33.97692),23675,771,1160,7,14,35
2624009016,01/31/2020,Single Family,12961 W WINGO ST,LOS ANGELES,CA,91331,7,CTF Asset Management LLC,Robert Yanes,800-931-2424,FCI Lender Services,Robert Yanes,8180  E Kaiser blvd  Anaheim CA 92808,800-931-2424,-118.41532,34.24873,POINT (-118.41532 34.24873),18907,34,451,,1,11
6071002011,01/23/2020,Single Family,627 E 109TH ST,LOS ANGELES,CA,90059,8,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.26412,33.93736,POINT (-118.26412 33.93736),24354,808,1190,7,14,45
5440026012,01/31/2020,Single Family,2425 N RIVERSIDE PL,LOS ANGELES,CA,90039,13,Platinum Loan Servicing,Karen Larson,818-222-5222,BAC Field Services Corporation,Resolution Center,30870   Russell Ranch RD  Westlake Village CA 91362,866-515-9759,-118.25346,34.10084,POINT (-118.25346 34.10084),23670,394,1000,,8,90
5115021013,01/23/2020,Multi-Family,849 1/2 E 42ND ST,LOS ANGELES,CA,90011,9,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.26075,34.00762,POINT (-118.26075 34.00762),22727,713,664,7,13,
6042001018,01/29/2020,Multi-Family,617 1/2 E 87TH ST,LOS ANGELES,CA,90002,9,Cenlar FSB,ATHENA SANTOS,720-945-5431,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.26444,33.95934,POINT (-118.26444 33.95934),22351,798,1175,7,13,45
2014002005,03/10/2020,Single Family,8239 N FALLBROOK AVE,LOS ANGELES,CA,91304,12,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,909-481-1100,-118.62366,34.21889,POINT (-118.62366 34.21889),4279,277,258,,2,44
4357002008,01/03/2020,Single Family,1831 N BENEDICT CANYON DR,LOS ANGELES,CA,90210,5,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.43744,34.10372,POINT (-118.43744 34.10372),24346,827,724,,6,81
2137009010,01/23/2020,Single Family,7107 N COZYCROFT AVE,LOS ANGELES,CA,91306,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.58245,34.19952,POINT (-118.58245 34.19952),4282,291,423,,4,66
4004031025,01/16/2020,Single Family,3635 W 61ST ST,LOS ANGELES,CA,90043,8,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.33658,33.98457,POINT (-118.33658 33.98457),23674,756,1039,7,14,24
5221029005,02/19/2020,Single Family,5122 E BOHLIG RD,LOS ANGELES,CA,90032,14,"Cenlar FSB,",Tina Santos,866-563-1100,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.17196,34.0702,POINT (-118.17196 34.0702),23449,507,1215,,9,91
7347001039,01/06/2020,Single Family,1622 W 223RD ST,LOS ANGELES,CA,90501,15,Flagstar Bank,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.30718,33.82434,POINT (-118.30718 33.82434),25715,946,1321,,15,55
5069016004,01/31/2020,Single Family,1616 S STANLEY AVE,LOS ANGELES,CA,90019,10,SILVERMAN REALTY CORP,WILLIAM SILVERMAN,818-629-2272,NULL,NULL,,NULL,-118.36267,34.04609,POINT (-118.36267 34.04609),23080,643,1350,,12,23
5107014028,01/18/2020,Multi-Family,1363 1/2 E 48TH ST,LOS ANGELES,CA,90011,9,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.2506,34.00032,POINT (-118.2506 34.00032),22727,719,982,7,13,51
6037006014,01/30/2020,Single Family,9156 S HARVARD BLVD,LOS ANGELES,CA,90047,8,Cenlar FSB,ATHENA SANTOS,720-945-5431,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.3067,33.95291,POINT (-118.3067 33.95291),23678,784,1167,7,14,20
6117010016,01/09/2020,Single Family,834 W 123RD ST,LOS ANGELES,CA,90044,15,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.29032,33.92102,POINT (-118.29032 33.92102),23675,938,803,7,15,53
7346011003,03/31/2020,Multi-Family,1652 W 220TH ST,TORRANCE,CA,90501,15,Aztec Financial,Chloe Allton,818-848-8960,New Beginning Properties Inc,Jose Chavez,1454   CEDAR ST  San Bernardino CA 92405,877-339-8202,-118.30827,33.82783,POINT (-118.30827 33.82783),25715,945,1320,,15,55
5016029023,01/24/2020,Single Family,1481 W 50TH ST,LOS ANGELES,CA,90062,8,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.30295,33.99835,POINT (-118.30295 33.99835),24027,741,1049,7,14,35
6072018007,01/18/2020,Single Family,910 E LANZIT AVE,LOS ANGELES,CA,90059,15,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.2582,33.93429,POINT (-118.2582 33.93429),24354,808,1193,7,15,
5103005016,01/07/2020,Single Family,700 E 52ND PL,LOS ANGELES,CA,90011,9,LAKEVIEW LOAN SERVICING,Bruni Velazquez,757-955-8014,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.2629,33.99491,POINT (-118.2629 33.99491),22727,726,984,7,13,
5501022005,01/22/2020,Multi-Family,355 S HOOVER ST,LOS ANGELES,CA,90020,13,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.2845,34.06747,POINT (-118.2845 34.06747),23081,578,1317,,8,80
2174025004,01/03/2020,Single Family,4581 N POE AVE,LOS ANGELES,CA,91364,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.57439,34.15284,POINT (-118.57439 34.15284),19346,313,656,,4,49
2608016008,01/22/2020,Single Family,12421 N HENZIE PL,LOS ANGELES,CA,91344,12,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.51171,34.29741,POINT (-118.51171 34.29741),19329,52,1408,,2,78
5423028025,01/23/2020,Single Family,2311 W BRANDEN ST,LOS ANGELES,CA,90026,13,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.26355,34.08945,POINT (-118.26355 34.08945),23444,468,542,,8,90
5155012200,03/20/2020,Single Family,421 S LA FAYETTE PARK,LOS ANGELES,CA,90064,1,Shellpoint Mortgage,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.28217,34.06511,POINT (-118.28217 34.06511),24352,557,1318,,11,80
2315002021,01/30/2020,Single Family,7742 N BAKMAN AVE,LOS ANGELES,CA,91352,6,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.37779,34.21146,POINT (-118.37779 34.21146),19335,164,1249,,3,21
2139014013,01/07/2020,Single Family,6538 N MOORCROFT AVE,LOS ANGELES,CA,91303,3,Freedom Mortgage,VPR DEPT,317-537-3748,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.61101,34.18956,POINT (-118.61101 34.18956),4278,297,1473,,4,49
2506026024,01/30/2020,Single Family,12796 N NORRIS AVE,LOS ANGELES,CA,91342,7,"Deutsche Bank National Trust Company, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.45293,34.30282,POINT (-118.45293 34.30282),18912,59,363,,1,47
6016011006,02/10/2020,Single Family,1838 W 65TH PL,LOS ANGELES,CA,90047,8,Freedom Mortgage,VPR DEPT,317-537-3748,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.31028,33.97973,POINT (-118.31028 33.97973),23678,770,1061,7,14,35
2536029005,02/17/2020,Single Family,10601 N DE HAVEN AVE,LOS ANGELES,CA,91331,7,Rushmore Loan Managment,Dawn Talavera,888-504-6700,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.40384,34.26224,POINT (-118.40384 34.26224),18907,33,1370,,1,11
7459002047,01/31/2020,Single Family,1440 W 9TH ST,SAN PEDRO,CA,90732,15,FREDERIC J TARVER C/O Freedom Mortgage,VPR DEPT,317-537-3748,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.30921,33.73627,POINT (-118.30921 33.73627),3343,978,1450,,15,25
5069009004,03/13/2020,Single Family,1502 S GENESEE AVE,LOS ANGELES,CA,90019,10,JP Morgan Chase NA,Amy Lott,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.36392,34.04885,POINT (-118.36392 34.04885),23080,643,1350,,12,23
2723007014,01/20/2020,Single Family,10509 N ANDORA AVE,LOS ANGELES,CA,91311,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.60895,34.26106,POINT (-118.60895 34.26106),4284,88,1276,,2,43
6061027007,02/27/2020,Single Family,528 W 104TH ST,LOS ANGELES,CA,90044,8,Champion Mortgage,Tina Simmons,972-894-9993,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.28382,33.94225,POINT (-118.28382 33.94225),23675,813,1171,7,14,45
5537024022,03/24/2020,Multi-Family,930 N KINGSLEY DR,LOS ANGELES,CA,90029,13,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.30312,34.0872,POINT (-118.30312 34.0872),23447,439,929,,8,58
5563026019,01/16/2020,Single Family,2001 N OAKSTONE WAY,HOLLYWOOD,CA,90046,4,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.38375,34.10701,POINT (-118.38375 34.10701),23677,459,731,,7,81
2012019014,01/06/2020,Single Family,7731 N NITA AVE,LOS ANGELES,CA,91304,3,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.61384,34.211,POINT (-118.61384 34.211),4279,279,267,,4,37
2606011025,01/08/2020,Single Family,12128 N SALEM DR,LOS ANGELES,CA,91344,12,bayview,Willie Walton,714-848-7920,M&M Mortgage Services Bayview,Ingrid Lopez,12901  SW 132nd AVE  miami FL 33186,786-871-0849,-118.50837,34.29093,POINT (-118.50837 34.29093),19329,53,911,,2,78
5015016020,01/17/2020,Multi-Family,4421 S WILTON PL,LOS ANGELES,CA,90062,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.31507,34.00307,POINT (-118.31507 34.00307),24027,742,1044,7,14,35
5206006016,01/09/2020,Multi-Family,2676 N WORKMAN ST,LOS ANGELES,CA,90031,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.21433,34.07875,POINT (-118.21433 34.07875),23448,488,516,,11,1
2266013054,01/10/2020,Single Family,14121 W DICKENS ST,LOS ANGELES,CA,91423,4,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.44054,34.14836,POINT (-118.44054 34.14836),19736,334,682,,7,83
4003026004,01/04/2020,Single Family,4034 W 63RD ST,LOS ANGELES,CA,90043,8,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.34526,33.98246,POINT (-118.34526 33.98246),23674,757,1041,7,14,24
5469019004,01/24/2020,Single Family,5219 E MONTE VISTA ST,LOS ANGELES,CA,90042,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.20061,34.10886,POINT (-118.20061 34.10886),23673,369,686,28,11,93
2644029060,03/04/2020,Single Family,14510  TUPPER ST,LOS ANGELES,CA,91402,6,CTF Asset Management LLC,Robert Yanes,800-931-2424,FCI Lender Services,Robert Yanes,8180  E Kaiser blvd  Anaheim CA 92808,800-931-2424,-118.4475,34.23914,POINT (-118.4475 34.23914),19730,136,319,,3,59
2264014008,01/06/2020,Single Family,4736 N NORWICH AVE,LOS ANGELES,CA,91403,4,"Dakota Asset Services, LLC",Christopher Spradling,832-772-3731,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.46054,34.15668,POINT (-118.46054 34.15668),19732,335,883,,7,83
2134040001,01/23/2020,Single Family,6414 N LUBAO AVE,LOS ANGELES,CA,91367,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.56805,34.18704,POINT (-118.56805 34.18704),19347,292,318,,4,49
7446022009,01/23/2020,Single Family,1085 W GOLDENROSE ST,SAN PEDRO,CA,90731,15,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.30086,33.7523,POINT (-118.30086 33.7523),3342,971,381,,15,25
5001036030,02/12/2020,Single Family,433 W 56TH ST,LOS ANGELES,CA,90037,9,"U.S. Bank National Association, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.28176,33.99159,POINT (-118.28176 33.99159),23668,745,990,7,13,2
2257020035,02/11/2020,Single Family,5460  WHITE OAK,LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.51815,34.17036,POINT (-118.51815 34.17036),4286,325,1495,,6,62
4368023028,02/04/2020,Single Family,883 N LINDA FLORA DR,LOS ANGELES,CA,90049,5,Maxvi 1 LLC,Ross Miller,949-748-6285,NULL,NULL,,NULL,-118.4655,34.08274,POINT (-118.4655 34.08274),23680,829,774,,6,81
2676009005,01/21/2020,Single Family,16321 W VINCENNES ST,LOS ANGELES,CA,91343,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.48813,34.24128,POINT (-118.48813 34.24128),18914,118,395,,2,88
5135008028,01/22/2020,Multi-Family,1423 S COURTLAND AVE,LOS ANGELES,CA,90006,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,-118.28349,34.04441,POINT (-118.28349 34.04441),22723,696,1521,,11,8
5024010011,03/11/2020,Single Family,"3434 W MARTIN LUTHER KING, JR BLVD",LOS ANGELES,CA,90008,10,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Remedy Field Services Inc,Agnes Mella,15615   Alton PKWY  IRVINE CA 92618,888-540-4490,-118.33267,34.01075,POINT (-118.33267 34.01075),22725,749,1021,7,12,54
6023018018,01/06/2020,Multi-Family,751 E 76TH PL,LOS ANGELES,CA,90001,9,Selene Finance - Jefferson Office,Eric Moore,877-338-3791,M&M Mortgage Co,Andrew Nikeli,2031  E Cerritos AVE  Anaheim CA 92806,714-408-2916,-118.26124,33.97038,POINT (-118.26124 33.97038),22350,791,999,7,13,46
2156014006,01/28/2020,Single Family,5931 N TOPEKA DR,LOS ANGELES,CA,91356,3,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.54627,34.17818,POINT (-118.54627 34.17818),19339,317,1493,,4,10
2701037036,03/20/2020,Single Family,11884 N MARIPOSA BAY LANE,LOS ANGELES,CA,91326,12,Paul Newman,Paul Newman,818-968-0477,Pablo Aguirre,Pablo Aguirre,2051  W Whittier BLVD 330 Montebello CA 90640,818-261-3207,-118.56865,34.28694,POINT (-118.56865 34.28694),18905,65,1311,,2,48
6051010005,01/09/2020,Single Family,1137 E 104TH ST,LOS ANGELES,CA,90002,8,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.25523,33.942,POINT (-118.25523 33.942),22351,806,360,7,14,45
5517012024,01/09/2020,Single Family,153 S HOBART BLVD,LOS ANGELES,CA,90004,10,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.30563,34.07221,POINT (-118.30563 34.07221),22721,585,1125,,12,89
6006013008,03/30/2020,Single Family,232 E GAGE AVE,LOS ANGELES,CA,90003,9,Celink,Daniel Stack,866-727-4303,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.27051,33.9823,POINT (-118.27051 33.9823),22352,788,995,7,13,46
2013025018,02/27/2020,Single Family,8121 N CAPISTRANO AVE,LOS ANGELES,CA,91304,12,"NATIONS DIRECT MORTGAGE, LLC",Property Preservation,800-669-0340,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.61718,34.2171,POINT (-118.61718 34.2171),4279,277,258,,2,44
2724001035,01/16/2020,Single Family,10214 N LARWIN AVE 1-7,LOS ANGELES,CA,91311,12,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.61463,34.25633,POINT (-118.61463 34.25633),4284,88,1252,,2,43
2537008002,01/28/2020,Multi-Family,12520 W WINGO ST,PACOIMA,CA,91331,7,Loancare,Sarah Richardson,757-452-5138,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.40608,34.25521,POINT (-118.40608 34.25521),18907,32,330,,1,11
6063019017,01/16/2020,Single Family,315 E 105TH ST,LOS ANGELES,CA,90003,8,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.26897,33.94114,POINT (-118.26897 33.94114),22352,807,359,7,14,45
2766021023,01/22/2020,Single Family,9447 N BRANDON CT,LOS ANGELES,CA,91325,12,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,-118.51917,34.24278,POINT (-118.51917 34.24278),18514,104,1422,,2,87
2332015015,01/23/2020,Single Family,6219 N BABCOCK AVE,LOS ANGELES,CA,91606,2,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.40645,34.18362,POINT (-118.40645 34.18362),8889,187,503,,5,70
4431015070,01/09/2020,Single Family,1573  MICHAEL,LOS ANGELES,CA,90272,11,HOME POINT FINANCIAL CORPORATION,Property Preservation,877-272-2149,SO CAL INSPECTORS,SUZANNE PHILLIPS,9525   Stewart and Gray RD  Downey CA 90241,877-242-2149,-118.56398,34.08018,POINT (-118.56398 34.08018),25066,835,1525,,10,
5216005008,01/22/2020,Single Family,4901 E LA CALANDRIA DR,LOS ANGELES,CA,90032,14,"Deutsche Bank National Trust Company, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.17806,34.07224,POINT (-118.17806 34.07224),23449,505,1121,,9,91
6004033022,01/11/2020,Single Family,5864 S BONSALLO AVE,LOS ANGELES,CA,90044,9,JOSE BRAULIO c/o Cenlar FSB,ATHENA SANTOS,609-718-2657,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.28581,33.98794,POINT (-118.28581 33.98794),23675,767,991,7,13,2
2512009028,01/30/2020,Single Family,13206 W LEACH ST,LOS ANGELES,CA,91342,7,ANNETTE WRIGHT C/O RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.42068,34.30935,POINT (-118.42068 34.30935),18912,40,1528,,1,47
2415022019,01/20/2020,Multi-Family,5648 N CARTWRIGHT AVE,NORTH HOLLYWOOD,CA,91601,2,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.36365,34.17352,POINT (-118.36365 34.17352),8488,199,526,,5,13
